text,label
"Software developer required. Candidates should have experience with Python Django and REST APIs. Apply through our official careers portal.",0
"We are hiring a data analyst with strong SQL Python Excel and Power BI skills. Full time position with interview process.",0
"Looking for a marketing executive with 2 years of experience. Salary based on experience. Send your resume through the company careers page.",0
"Frontend developer required for our technology team. Knowledge of HTML CSS JavaScript and React preferred. Apply online.",0
"Customer support associate needed. Rotational shifts and training provided. Candidates will undergo an interview before selection.",0
"Business analyst position available for graduates with strong analytical and communication skills. Apply through our official website.",0
"Backend engineer needed with knowledge of Java Spring Boot and MySQL. Competitive salary and standard hiring process.",0
"Graphic designer required for a full time position. Portfolio and relevant experience required.",0
"HR executive vacancy available. Candidates will be interviewed by the recruitment team before joining.",0
"Internship opportunity for Python developers. Applicants will complete a technical assessment before selection.",0
"Earn 80000 rupees every month working from home. No experience required. Pay a registration fee to secure your position.",1
"Congratulations! You have been selected for a high paying job. Send 2500 rupees processing charges immediately to receive your appointment letter.",1
"Work from home and earn 5000 rupees every day. Limited seats available. Pay a small joining fee today.",1
"Urgent hiring! Guaranteed salary of 1 lakh per month with no interview required. Contact us on WhatsApp immediately.",1
"Make money easily from home. No skills needed. Send your bank details and pay a refundable security deposit to start.",1
"Congratulations you are shortlisted without an interview. Pay registration charges now or your job offer will be cancelled.",1
"Earn huge income by liking videos. Deposit 1000 rupees first and you can withdraw your earnings after completing tasks.",1
"Government job available immediately without examination. Pay 5000 rupees for document verification and guaranteed selection.",1
"Work from home job with guaranteed income. Send your Aadhaar and bank account details along with a joining payment.",1
"Selected candidates must pay training charges before receiving company ID and appointment letter. Contact recruiter urgently.",1
